1,1,Midnight Mixtape,33,34
2,2,Chill Vibes,21,22,23,24,25,26,27
3,3,Beatlemania Bonanza,5,6,7,8,9,10,11,12,13
4,4,Michael's Melodies,23,24,25,26,27,28,29,30,31
5,5,Emily's Euphoria,38,39,40,1,2,3,4,5,6,7
6,1,Sarah's Serenade,14,15
7,2,David's Drive,1,2,3,4,5,6,7,8
8,3,Olivia's Odyssey,18,19,20
9,4,Michael's Mix,33,34,35,36,37
10,5,Emily's Ensemble,8,9,10,11,12,13,14,15
11,1,Sarah's Summer Mix,21,22,23,24,25,26,27
12,2,David's Dynamic Playlist,28,29,30,31,32,33,34,35
13,3,Olivia's Outrageous Overture,1,2,3,4,5,6
14,4,Michael's Melodic Journey,37,38,39,40,1,2,3
15,5,Emily's Eclectic Experience,7,8,9,10,11,12,13,14,15,16
16,1,Sarah's Selection,37,38,39,40,1,2,3,4,5
17,2,David's Diverse Ditties,17,18,19,20,21,22,23,24
18,3,Olivia's Orchestral Odyssey,29,30,31,32,33,34,35,36,37
19,4,Michael's Musical Medley,10,11,12,13,14,15,16
20,5,Emily's Euphoric Ensemble,25,26,27,28,29,30,31
21,1,Sarah's Symphony,20,21,22,23,24,25,26,27,28,29
22,2,David's Dancefloor Delights,30,31,32,33,34,35,36,37,38
23,3,Olivia's Opus,5,6,7,8,9,10,11,12,13,14
24,4,Michael's Magical Mix,16,17,18,19,20,21,22,23,24,25
25,5,Emily's Enigma,1,2,3,4,5,6,7,8,9,10
26,1,Sarah's Sunshine Mix,11,12,13,14,15,16,17,18,19,20
27,2,David's Dazzling Tunes,26,27,28,29,30,31,32,33,34
28,3,Olivia's Outlandish Opera,6,7,8,9,10,11,12
29,4,Michael's Melodic Marvels,30,31,32,33,34,35,36,37,38,39
30,5,Emily's Ecstatic Experience,13,14,15,16,17,18,19,20,21
31,1,Sarah's Summer Serenade,35,36,37,38,39,40
32,2,David's Dynamic Symphony,19,20,21,22,23,24,25
33,3,Olivia's Opulent Orchestra,29,30,31,32,33,34,35,36,37,38
34,4,Michael's Musical Mosaic,12,13,14,15,16,17,18,19,20,21
35,5,Emily's Epic Ensemble,26,27,28,29,30,31,32,33,34,35
36,1,Sarah's Serene Selection,14,15,16,17,18,19,20
37,2,David's Diverse Dancefloor,1,2,3,4,5,6,7,8,9
38,3,Olivia's Orchestral Opus,37,38,39,40,1,2,3,4,5,6
39,4,Michael's Musical Marathon,17,18,19,20,21,22,23,24,25,26
40,5,Emily's Enigmatic Mix,36,37,38,39,40
41,1,Sarah's Sunshine Symphony,27,28,29,30,31,32,33,34,35,36
42,2,David's Dynamic Dancefloor,10,11,12,13,14,15,16
43,3,Olivia's Outlandish Opera,17,18,19,20,21,22,23,24
44,4,Michael's Musical Melange,8,9,10,11,12,13,14,15,16,17
45,5,Emily's Enchanting Melodies,20,21,22,23,24,25,26,27,28
46,1,Sarah's Sensational Selection,7,8,9,10,11,12,13,14,15
47,2,David's Dazzling Dancefloor,29,30,31,32,33,34,35,36,37,38
48,3,Olivia's Opulent Overture,3,4,5,6,7,8,9,10
49,4,Michael's Musical Mixtape,18,19,20,21,22,23,24,25
50,5,Emily's Eclectic Ensemble,32,33,34,35,36,37,38,39,40