B001,Espresso Doble,Un espresso intenso con una mezcla de Café Arábica y Robusta para un sabor equilibrado y fuerte,C,2.50,120
B002,Café Latte,Suave y cremoso elaborado con una mezcla de cafés y leche vaporizada para una textura delicada,C,3.20,150
B003,Cappuccino Clásico,Clásico cappuccino con una perfecta proporción de espresso leche espumosa y un toque de cacao,C,3.00,140
B004,Americano,Un café Robusta diluido ofreciendo un sabor fuerte pero menos concentrado,C,2.00,130
B005,Mocha de Chocolate Oscuro,Una deliciosa combinación de espresso y chocolate oscuro coronado con crema batida,H,3.80,100
B006,Chocolate Caliente Cremoso,Chocolate caliente espeso con un toque cremoso ideal para los días fríos,H,4.00,110
B007,Té Verde Matcha,Té verde matcha en polvo con un sabor terroso y ligeramente dulce,T,2.70,90
B008,Té Negro Earl Grey,Té negro de alta calidad con el aroma cítrico del aceite de bergamota,T,2.50,85
B009,Infusión de Manzanilla,Suave infusión de flores de manzanilla perfecta para relajarse,I,2.20,60
B010,Infusión de Lavanda,Relajante infusión de lavanda seca ideal para calmar los sentidos,I,2.50,50
B011,Café con Leche Descremada,Café suave con leche descremada para un sabor ligero pero satisfactorio,C,3.00,115
B012,Café Cold Brew,Café infusionado en frío con un sabor suave y menos ácido,C,3.50,95
B013,Té Rooibos Vainilla,Infusión de rooibos con un toque de vainilla naturalmente dulce y sin cafeína,T,2.60,70
B014,Chai Latte,Mezcla especiada de té negro leche vaporizada y especias como canela y cardamomo,T,3.20,75
B015,Té de Jengibre con Miel,Infusión picante de jengibre fresco y miel de abeja para calentar el cuerpo,I,2.80,65
B016,Chocolate con Canela,Delicioso chocolate caliente con un toque de canela molida,H,3.90,80
B017,Infusión de Jengibre y Nuez Moscada,Infusión exótica de jengibre fresco y nuez moscada para un sabor cálido y especiado,I,3.10,55
B018,Latte de Almendra y Vainilla,Café latte con leche de almendra y un toque de vainilla líquida perfecto para intolerantes a la lactosa,C,3.60,90
B019,Té Verde con Jengibre y Miel,Fusión de té verde con jengibre fresco y un toque de miel para una combinación refrescante y cálida,T,3.00,60
B020,Chocolate Blanco Caliente,Dulce y cremoso chocolate blanco caliente una indulgencia suave,H,4.20,70
B021,Flat White,Café fuerte con una capa fina de leche vaporizada ideal para los amantes del café más intenso,C,3.50,80